,Chart_Date,value,key
,9/8/2019,0.329,q1_val
,9/9/2019,0.3285,q1_val
,9/10/2019,0.329,q1_val
,9/11/2019,0.3285,q1_val
,9/12/2019,0.329,q1_val
,9/13/2019,0.316,q1_val
,9/14/2019,0.329,q1_val
,9/15/2019,0.32675,q1_val
,9/16/2019,0.32525,q1_val
,9/17/2019,0.32525,q1_val
,9/18/2019,0.32675,q1_val
,9/19/2019,0.32675,q1_val
,9/20/2019,0.3345,q1_val
,9/21/2019,0.332,q1_val
,9/22/2019,0.3285,q1_val
,9/23/2019,0.329,q1_val
,9/24/2019,0.329,q1_val
,9/25/2019,0.329,q1_val
,9/26/2019,0.332,q1_val
,9/27/2019,0.3345,q1_val
,9/28/2019,0.332,q1_val
,9/29/2019,0.3285,q1_val
,9/30/2019,0.329,q1_val
,10/1/2019,0.329,q1_val
,10/2/2019,0.329,q1_val
,10/3/2019,0.332,q1_val
,10/4/2019,0.317,q1_val
,10/5/2019,0.32075,q1_val
,10/6/2019,0.32675,q1_val
,10/7/2019,0.3285,q1_val
,10/8/2019,0.329,q1_val
,10/9/2019,0.3285,q1_val
,10/10/2019,0.32675,q1_val
,10/11/2019,0.33375,q1_val
,10/12/2019,0.339,q1_val
,10/13/2019,0.333,q1_val
,10/14/2019,0.339,q1_val
,10/15/2019,0.333,q1_val
,10/16/2019,0.332,q1_val
,10/17/2019,0.339,q1_val
,10/18/2019,0.332,q1_val
,10/19/2019,0.333,q1_val
,10/20/2019,0.329,q1_val
,10/21/2019,0.329,q1_val
,10/22/2019,0.333,q1_val
,10/23/2019,0.3345,q1_val
,10/24/2019,0.3345,q1_val
,10/25/2019,0.317,q1_val
,10/26/2019,0.3255,q1_val
,10/27/2019,0.327,q1_val
,10/28/2019,0.327,q1_val
,10/29/2019,0.327,q1_val
,10/30/2019,0.327,q1_val
,10/31/2019,0.327,q1_val
,11/1/2019,0.329,q1_val
,11/2/2019,0.327,q1_val
,11/3/2019,0.3285,q1_val
,11/4/2019,0.329,q1_val
,11/5/2019,0.332,q1_val
,11/6/2019,0.339,q1_val
,11/7/2019,0.332,q1_val
,11/8/2019,0.34575,q1_val
,11/9/2019,0.346,q1_val
,11/10/2019,0.346,q1_val
,11/11/2019,0.35275,q1_val
